Lnumber,LID_CSV,LitList_en,LitList_jp,Link
214,L00947,"Golovatch, S. I., Geoffroy, J.-J., Stoev, P. and VandenSpiegel, D. (2013) Review of the millipede family Opisotretidae (Diplopoda, Polydesmida), with descriptions of new species. ZooKeys, 302: 13–77.",,https://doi.org/10.3897%2Fzookeys.302.5357
215,L01237,"Golovatch, S. I. and Korsós, Z. (1992) Diplopoda collected by the Soviet Zoological Expedition to the Seychelles islands in 1984. Acta Zoologica Hungarica, 38(1–2): 1–31.",,
216,L00026,"Golovatch, S. I., Liu, W., Li, Y. and Geoffroy, J.-J. (2012) One new and two little-known species of the millipede family Polydesmidae from southern China (Diplopoda: Polydesmida). Arthropoda Selecta, 21(2): 131–136.",,https://doi.org/10.15298/arthsel.21.2.02
217,L01766,"Golovatch, S. I. and Mikhaljova, E. V. (1979) [New millipedes of the Polydesmidea (Diplopoda) from the Soviet Far East]. Zoologicheskii Zhurnal, 58(6): 830–837.",,
218,L00028,"Golovatch, S. I., Mikhaljova, E. V. and Chang, H.-W. (2011) The millipede family Polydesmidae in Taiwan, with descriptions of five new species (Polydesmida, Diplopoda). ZooKeys, 93: 9–42.",,https://doi.org/10.3897%2Fzookeys.93.1167
219,L01012,"Golovatch, S. I., Mikhaljova, E. V. and Chang, H.-W. (2011) The millipede families Cryptodesmidae, Haplodesmidae, Pyrgodesmidae, Opisotretidae and Xystodesmidae in Taiwan (Diplopoda, Polydesmida). Tropical Natural History, 11(2): 119–134.",,
220,L00448,"Golovatch, S. I., Mikhaljova, E. V., Korsós, Z. and Chang, H.-W. (2010) The millipede family Haplodesmidae (Diplopoda, Polydesmida) recorded in Taiwan for the first time, with the description of a new species. Tropical Natural History, 10(1): 27–36.",,
221,L00029,"Golovatch, S. I., Mikhaljova, E. V. and Tanabe, T. (1995) Review of the East Asian millipede genus <i>Haplogonosoma</i> Brölemann, 1916 (Diplopoda, Polydesmida, Paradoxosomatidae). Proceedings of the Japanese Society of Systematic Zoology, (53): 71–80.","Sergei Ilyich Golovatch・Elena Valentinovna Mikhaljova・田辺 力 (1995) モリヤスデ属 <i>Haplogonosoma</i> Brölemannの分類学的検討. 動物分類学会誌, (53): 71–80.",https://doi.org/10.19004/pjssz.53.0_71
222,L01213,"Golovatch, S. I., Nzoko Fiemapong, A. R. and VandenSpiegel, D. (2017) Notes on Afrotropical Pyrgodesmidae, 3 (Diplopoda: Polydesmida). Arthropoda Selecta, 26(3): 175–215.",,https://doi.org/10.15298/arthsel.26.3.01
223,L01811,"Golovatch, S. I., Semenyuk, I., VandenSpiegel, D. and Anichkin, A. E. (2011) Three new species of the millipede family Pyrgodesmidae from Nam Cat Tien National Park, southern Vietnam (Diplopoda: Polydesmida). Arthropoda Selecta, 20(1): 1–9.",,https://doi.org/10.15298/arthsel.20.1.01
224,L01747,"Golovatch, S. I. and Stoev, P. (2013) The millipede family Paradoxosomatidae in the Philippines, with a description of <i>Eustrongylosoma penevi</i> sp.n., and notes on <i>Anoplodesmus anthracinus</i> Pocock, 1895, recorded in Malaysia and Sri Lanka for the first time (Diplopoda, Polydesmida). Biodiversity Data Journal, 1: e957.",,https://doi.org/10.3897/bdj.1.e957
225,L01018,"Golovatch, S. I., Stoev, P. and VandenSpiegel, D. (2010) New or poorly-known millipedes (Diplopoda) from Papua New Guinea, 2. Arthropoda Selecta, 19(3): 129–143.",,
226,L01884,"Golovatch, S. I. and Wytwer, J. (2007) <i>Brachydesmus nevoi</i>, a new millipede from Israel (Diplopoda: Polydesmida). Annales Zoologici, 57(2): 205–210.",,
227,L01663,"Gongalsky, K. B., Kuznetsova, D. M., Elagin, A. D., Malyavin, S. A. and Zaytsev, A. S. (2014) Pochvennaya mezofauna yuga ostrova Kunashir (Kurilskie ostrova) [Soil Macrofauna of Kunashir Island (Kuril Islands, Russia)]. Doklady of the Academy of Sciences of the U.S.S.R. Earth science sections, 457(3): 370–373.",,
228,L01415,"Gressitt, J. L. (1941) IV.—New Myriapods from Formosa and Hainan Island. Annals and Magazine of Natural History, (11)8: 55–61.",,https://doi.org/10.1080/03745481.1941.9727950
229,L00716,"Haga, A. (1951) [Diplopoda of Tokyo]. Acta Arachnologica, 12(3–4): 101.","芳賀 昭治 (1951) 東京のヤスデ. Acta Arachnologica, 12(3–4): 101.",https://doi.org/10.2476/asjaa.12.101
230,L00343,"Haga, A. (1959) [Some millipedes living in ants' nest]. Shin Konchû, 12(2): 22–23.","芳賀 昭治 (1959) アリの巣に棲むヤスデ. 新昆蟲, 12(2): 22–23.",
231,L00030,"Haga, A. (1968) [Japanese millipedes]. Private publication, 1–18.","芳賀 昭治 (1968) 日本のヤスデ. 自刊, 1–18.",
232,L00317,"Haga, A. (1968) [Millipedes in Kitakyûshû-shi City, Fukuoka Prefecture, Japan. Report of the Society]. Takakuwaia, (1): 3.","芳賀 昭治 (1968) 北九州市のヤスデ. 会務報告. Takakuwaia, (1): 3.",
233,L01543,"Hagino, Y. (1991) Pauropoda. figs 230–236, pp. 72–73, 161. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. Tokai University Press, Tokyo. 405 figs + 201 pp. ISBN-10: 4-486-01156-2.","萩野 康則 (1991) エダヒゲムシ綱 Pauropoda. figs 230–236, pp. 72–73, 161. In: 青木 淳一 (編) 日本産土壌動物検索図説. 東海大学出版会, 神奈川. 405 figs + 201 pp. ISBN-10: 4-486-01156-2.",
234,L01279,"Hagino, Y. (1991) New species of the family Pauropodidae (Pauropoda) from central Japan. Canadian Entomologist, 123(5): 1009–1045.",,https://doi.org/10.4039/Ent1231009-5
235,L01393,"Hagino, Y. (1991) A new species of the genus <i>Stylopauropus</i> (Pauropoda: Pauropodidae) from central Japan.",,
236,L00833,,"萩野 康則 (1992) 篠原先生との出会い. Takakuwaia, (24): 35.",
237,L00848,,"萩野 康則 (1992) 日本産エダヒゲムシ類(Pauropoda)の新産地と新記録種. Takakuwaia, (24): 85–97.",
238,L01158,,"萩野 康則 (1992) 日本産エダヒゲムシ類(Pauropoda)の分類学の現状. Edaphologia, (48): 35–46.",
239,L01243,"Hagino, Y. (1993) [Soil animals 5: Pauropoda]. pp. 443–447. In: [Yamba Dam Area Nature Survey Group] (ed.) [Nature of Naganohara: Report on the cultural property survey at the planned reservoir site of Yamba Dam and related areas]. [Naganohara-machi Town]. 498 pp.",萩野 康則 (1993) 土壌動物 5 エダヒゲムシ類. pp. 443–447. In: 八ッ場ダム地域自然調査会 (編) 八ッ場ダムダム湖予定地及び関連地域文化財調査報告書 長野原の自然. 長野原町. 498 pp.,
240,L01280,"Hagino, Y. (1993) A new species of the genus <i>Allopauropus</i> (Pauropoda, Pauropodidae) from the Boso Peninsula, central Japan. Natural History Research, 2(2): 175–177.","萩野 康則 (1993) 房総半島産ナミエダヒゲムシ属（エダヒゲムシ綱：エダヒゲムシ科）の一新種. Natural History Research, 2(2): 175–177.",
241,L01282,"Hagino, Y. (1994) A preliminary list of Pauropoda from the northern Mariana Islands, Micronesia. Natural History Research Special Issue, (1): 249–250.",,
242,L00878,,"萩野 康則 (1996) 追悼編の編集を終えて. Takakuwaia, (28): 36.",
243,L00880,,"萩野 康則 (1996) 新刊紹介 原色検索日本海岸動物図鑑 [II]. Takakuwaia, (28): 40.",
244,L00890,,"萩野 康則 (1997) 読みづらい文字と嗄れた声の想い出. Takakuwaia, (29): 16–17.",
245,L00645,"Hagino, Y. (1998) [Pauropoda]. pp. 311–317. In: Ibaraki Nature Museum (ed.) The 1st general research report of the Ibaraki Nature Museum - Nature in the prefectural southern district including Mt. Tsukuba and Lake Kasumigaura -. Ibaraki Nature Museum, Bando.","萩野 康則 (1998) エダヒゲムシ類. pp. 311–317. In: ミュージアムパーク 茨城県自然博物館 (編) 茨城県自然博物館第1次総合調査報告書 —筑波山・霞ヶ浦を中心とする県南部地域の自然—. ミュージアムパーク 茨城県自然博物館, 坂東.",https://www.nat.museum.ibk.ed.jp/materials/research/01.html
246,L01405,"Hagino, Y. (1998) [Pauropods of Oze]. pp. 645–650. In: Oze Scientific Research Group (ed.) Scientific research of the Oze area in central Japan. Oze Scientific Research Group. 868 pp.",萩野 康則 (1998) 尾瀬のエダヒゲムシ類. pp. 645–650. In: 尾瀬総合学術調査団 (編) 尾瀬の総合研究. 尾瀬総合学術調査団. 868 pp.,
247,L01547,"Hagino, Y. (1999) Arthropoda, Myriapoda, Pauropoda. pp. 684–692, 1034. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. Tokai University Press, Tokyo. 1076 pp. ISBN-10: 4-486-01443-X.","萩野 康則 (1999) 節足動物門多足類エダヒゲムシ綱. pp. 684–692, 1034. In: 青木 淳一 (編) 日本産土壌動物－分類のための図解検索. 東海大学出版会, 神奈川. 1076 pp. ISBN-10: 4-486-01443-X.",
248,L01082,,萩野 康則 (2000) 小田深山およびその周辺のエダヒゲムシ類. pp. 847–854. In: 小田町深山の自然編集委員会・山本 栄治 (編) 小田深山の自然 I. 愛媛県上浮穴郡小田町. 1074 pp.,
249,L01620,"Hagino, Y. (2000) A list of Pauropoda from the Imperial Palace, Tokyo, Japan. Memoirs of the National Science Museum, (35): 115–121.","萩野 康則 (2000) 皇居のエダヒゲムシ類. 国立科学博物館専報, (35): 115–121.",
250,L00648,"Hagino, Y. (2001) [Pauropoda]. pp. 349–355. In: Ibaraki Nature Museum (ed.) The 2nd general research of the Ibaraki Nature Museum - Nature in the prefectural central district including the Keisoku Mts., Lake Hinuma and the central coast -. Ibaraki Nature Museum, Bando.","萩野 康則 (2001) エダヒゲムシ類. pp. 349–355. In: ミュージアムパーク 茨城県自然博物館 (編) 茨城県自然博物館第2次総合調査報告書 — 鶏足山塊・湖沼・県央海岸を中心とする県央地域の自然 —. ミュージアムパーク 茨城県自然博物館, 坂東.",https://www.nat.museum.ibk.ed.jp/materials/research/02.html
251,L01006,"Hagino, Y. (2003) [Pauropoda]. pp. 168–172. In: Biodiversity Center of Japan (ed.) [Biodiversity Survey, Ecosystem Diversity Area Survey (Fuji North Foothills Area) Report]. 275 pp.",萩野 康則 (2003) エダヒゲムシ綱. pp. 168–172. In: 環境省自然環境局 生物多様性センター (編) 生物多様性調査 生態系多様性地域調査（富士北麓地域）報告書.,https://www.biodic.go.jp/reports2/6th/fujihoku/index.html
252,L00909,"Hagino, Y. (2003) A preliminary list of pauropods collected from Chiba Prefecture. Takakuwaia, (32): 1–4.","萩野 康則 (2003) 千葉県のエダヒゲムシ類（第１報）. Takakuwaia, (32): 1–4.",
253,L00652,"Hagino, Y. (2004) [Pauropoda]. pp. 379–398. In: Ibaraki Nature Museum (ed.) The 3rd general research of the Ibaraki Nature Museum - Nature in prefectural northeast district of Ibaraki including the Abukuma Mts. and the north coast -. Ibaraki Nature Museum, Bando.","萩野 康則 (2004) エダヒゲムシ類. pp. 379–398. In: ミュージアムパーク 茨城県自然博物館 (編) 茨城県自然博物館第3次総合調査報告書 — 阿武隈山地・県北部海岸を中心とした県北東部地域の自然 —. ミュージアムパーク 茨城県自然博物館, 坂東.",https://www.nat.museum.ibk.ed.jp/materials/research/03.html
254,L00655,"Hagino, Y. (2007) [Pauropoda]. pp. 352–361. In: Ibaraki Nature Museum (ed.) The 4th general research of the Ibaraki Nature Museum - Nature in prefectural northwest district of Ibaraki including the Yamizo Mts. and the Kuji Riv. -. Ibaraki Nature Museum, Bando.","萩野 康則 (2007) エダヒゲムシ類. pp. 352–361. In: ミュージアムパーク 茨城県自然博物館 (編) 茨城県自然博物館第4次総合調査報告書 — 八溝山地・久慈川を中心とする県北西部地域の自然 —. ミュージアムパーク 茨城県自然博物館, 坂東.",https://www.nat.museum.ibk.ed.jp/materials/research/04.html
255,L01059,"Hagino, Y. (2015) Arthropoda, Myriapoda, Pauropoda. pp. 915–940. In: Aoki, J. (ed.) Pictorial keys to soil animals of Japan. The second edition. Tokai University Press, Kanagawa. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9.","萩野 康則 (2015) 節足動物門多足亜門エダヒゲムシ綱 (少脚綱). pp. 915–940. In: 青木 淳一 (編) 日本産土壌動物 第二版－分類のための図解検索. 東海大学出版部, 神奈川. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9.",
256,L00031,"Hagino, Y. (2016) A list of soil animals appear in Chiba Prefecture. I. All soil animal taxa excluding pterygote insects. Journal of the Natural History Museum and Institute, Chiba, 13(2): 83–141.","萩野 康則 (2016) 千葉県産土壌動物リストI 有翅昆虫を除く動物群. 千葉県立中央博物館自然誌研究報告, 13(2): 83–141.",https://www.chiba-muse.or.jp/NATURAL/research/publication/page-1521423633266/
257,L00308,"Hagino, Y. (2018) Memorial issue honor of the late Mr. Keizaburo SHINOHARA. Edaphologia, (103): 1–16.","萩野 康則 (2018) 追悼・篠原圭三郎先生. Edaphologia, (103): 1–16.",https://doi.org/10.20695/edaphologia.103.0_1
258,L01757,"Hagino, Y. (2024) [Pauropods]. pp. 155–173. [Ibaraki Soil Animal Research Association] (ed.) [Soil animals in Ibaraki Prefecture]. Ibaraki Nature Museum, Bando. 278 pp.","萩野 康則 (2024) エダヒゲムシ類. pp. 155–173. 茨城土壌動物研究会 (編) 茨城でみられる土中の虫たち. ミュージアムパーク 茨城県自然博物館, 坂東. 278 pp.",
259,L00711,"Hagiwara, Y. and Kuwabara, Y. (2008) Outbreak of the train millipede on the northern slope of Mt. Fuji. Mount Fuji Research, 2: 21–24.","萩原 康夫・桑原 ゆかり (2008) 富士北麓におけるキシャヤスデ類の大発生. 富士山研究, 2: 21–24.",https://www.mfri.pref.yamanashi.jp/mfr/mokuji/dai2.html
260,L00712,"Hagiwara, Y., Kuwabara, Y., Inomata, T., Matsunaga, M. and Hasegawa, M. (2019) The outbreak distribution of periodic train millipede, <i>Parafontaria laminata laminata</i> (Attems) (Diplopoda, Polydesmida, Xystodesmidae) on Mt. Fuji. Mount Fuji Research, 13: 29–32.","萩原 康夫・桑原 ゆかり・猪俣 瞳子・松永 雅美・長谷川 真紀子 (2019) 富士山麓におけるオビババヤスデの群遊状況について. 富士山研究, 13: 29–32.",https://doi.org/10.24769/00000067
261,L01230,"Halkka, R. (1958) Life-history of Schizophyllum sabulosum (L.) (Diplopoda, Iulidae). Annales Zoologici Societatis Zoologicae-Botanicae Fennicae Vanamo, 19(4): 1–72.",,
262,L01552,"Han, T., Lee, Y. B., Kim, S.-H., Yoon, H. J., Park, I. G. and Park, H. (2018) Genetic variation of COI gene of the Korean medicinal centipede <i>Scolopendra mutilans</i> Koch, 1878 (Scolopendromorpha: Scolopendridae). Entomological Research, 48(6): 559–566.",,https://doi.org/10.1111/1748-5967.12331
263,L01394,,"羽根田 弥太 (1939) パラオ、ヤツプ兩諸島に於ける陸産の發光生物に就て. 科学南洋, 2(2): 30–35.",
264,L01241,"Haneda, Y. (1955) Luminous organisms of Japan and the far east. pp. 335–385. In: Johnson, F. H. (ed.) The luminescence of biological systems. American Association for the Advancement of Science, Washington, D.C. 452 pp.",,
265,L01123,"Haneda, Y. (1963) Luminous organism. pp. 520–546. In: Oshima, M. (ed.) A cyclopedia of applied zoology. Hokuryukan, Tokyo. 781 pp.","羽根田 弥太 (1963) ハッコウセイブツ（発光生物）. pp. 520–546. In: 大島 正満 (編) 応用動物事典. 北隆館, 東京. 781 pp.",
266,L01238,"Haneda, Y. (1967) A fourth luminous millipede, <i>Dinematocrius</i>[sic] sp. from Noumea, New Caledonia. Science report of the Yokosuka City Museum, (13): 1–3.",,
267,L00997,"Hasegawa, E., Yao, I., Futami, K., Yagi, N., Kobayashi, K. and Kudo, S. (2012) Isolation of microsatellite loci from the millipede, <i>Brachycybe nodulosa</i> Verhoeff. Conservation Genetics Resources, 4(1): 89–91.",,https://doi.org/10.1007/s12686-011-9481-9
268,L01417,"Hash, J. M. and Brown, B. V. (2015) Revision of the new world species of the millipede-parasitic genus <i>Myriophora</i> Brown (Diptera: Phoridae). Zootaxa, 4035(1): 1–79.",,https://doi.org/10.11646/zootaxa.4035.1.1
269,L00274,"Hashimoto, M., Kaneko, N., Ito, M. T. and Toyota, A. (2003) The seasonal activity and method of the research on the forest floor of the adult train millipede <i>Parafontaria laminata</i> (Attems, 1909) (Diplopoda: Xystodesmidae). Edaphologia, (73): 19–25.","橋本 みのり・金子 信博・伊藤 雅道・豊田 鮎 (2003) ピットフォールトラップによるキシャヤスデ成虫の活動調査手法の確立と活動の季節性. Edaphologia, (73): 19–25.",https://doi.org/10.20695/edaphologia.73.0_19
270,L00438,"Hashimoto, M., Kaneko, N., Ito, M. T. and Toyota, A. (2004) Exploitation of litter and soil by the train millipede <i>Parafontaria laminata</i> (Diplopoda: Xystodesmidae) in larch plantation forests in Japan. Pedobiologia, 48(1): 71–81.",,https://doi.org/10.1016/j.pedobi.2003.09.001
271,L01741,"Hattori, K. and Hasegawa, M. (1968) A case report on the occurence of household nuisances in Hokkido. Report of the Hokkaido Institute of Public Health, 18: 95–103.","服部 畦作・長谷川 恩 (1968) 北海道における不快動物発生例について. 北海道立衛生研究所報, 18: 95–103.",
272,L01710,"Hayashi, D., Sobagaki, T. and Jin-nouchi, A. (2021) First record of <i>Otostigmus scaber</i> (Scolopendromorpha: Scolopendridae) from Saga Prefecture, Kyushu, Japan. Saga Nature Study, (27): 48–49.","林 大祐・側垣 共生・陣内 聡 (2021) 佐賀県で初めて確認されたノコバゼムカデ. 佐賀自然史研究, (27): 48–49.",
273,L01555,"Hayashi, D. and Sugie, H. (2023) [Notable millipedes and beetles records collected in Suminoe-ku, Japan]. Nature Study, 69(8): 102–103.","林 大智・杉江 悠 (2023) 住之江区で得られた特筆すべきヤスデ類・甲虫類の記録. Nature Study, 69(8): 102–103.",
274,L00834,,"比嘉 ヨシ子 (1992) 篠原圭三郎先生との出会い. Takakuwaia, (24): 35–36.",
275,L01643,,"比嘉 ヨシ子 (1997) 倍足類. pp. 191–201. In: 沖縄の帰化動物 —海をこえてきた動物たち—. 沖縄図書販売, 浦添.",
276,L01166,"Higa, Y. (1998) [Small animals on Hateruma-jima Island]. pp. 32–64. In: Okinawa Prefectural Museum (ed.) [Report on the General Survey of Hateruma-jima Island]. Okinawa Prefectural Museum, Naha. 291 pp.","比嘉 ヨシ子 (1998) 波照間島の小動物. pp. 32–64. In: 沖縄県立博物館 (編) 波照間島総合調査報告書　自然・歴史・民俗・考古・美術工芸. 沖縄県立博物館, 那覇. 291 pp.",https://okimu.jp/research/report/
277,L01095,"Higa, Y. and Kishimoto, T. (1987 (not 1986)) Unusual outbreak and control of millipede, <i>Chamberlinius haulienensis</i>[sic] Wang in Okinawa. Annual report of Okinawa Prefectural Institute of Public Health, (20): 62–72.","比嘉 ヨシ子・岸本 高男 (1987 (not 1986)) ヤンバルトサカヤスデの多発事例とその対策. 沖繩県公害衛生研究所報, (20): 62–72.",
278,L00948,"Higa, Y. and Kishimoto, T. (1989) Expansion of distribution area of millipede, <i>Chamberlinius haulienensis</i>[sic] Wang, in Okinawa. Annual report of Okinawa Prefectural Institute of Public Health, (23): 72–76.","比嘉 ヨシ子・岸本 高男 (1989) ヤンバルトサカヤスデの分布地域の拡大状況. 沖繩県公害衛生研究所報, (23): 72–76.",
279,L01096,"Higa, Y. and Kishimoto, T. (1991) The outbreak of the millipede, <i>Chamberlinius hualienensis</i> Wang, and the expansion of its distribution area and control in Okinawa. Pest control research, 6(1): 10–14.","比嘉 ヨシ子・岸本 高男 (1991) 沖縄県におけるヤンバルトサカヤスデ<i>Chamberlinius hualienensis</i> Wangの大発生，分布拡大，防除の現況. ペストロジー学会誌, 6(1): 10–14.",https://doi.org/10.24486/pestologygakkaishi.6.1_10
280,L00032,"Higa, Y. and Kishimoto, T. (1995) The ecology the milliped[sic], <i>Chamberlinus hualienensis</i> Wang (Diplopoda : Strongylosomidae), and control in Okinawa Island. Medical Entomology and Zoology, 46(2): 215.","比嘉 ヨシ子・岸本 高男 (1995) 沖縄本島における不快害虫・ヤンバルトサカヤスデ <i>Chamberlinius hualienensis</i> Wang (Diplopoda : Strongylosomidae) の生態と防除について. 衛生動物, 46(2): 215.",https://doi.org/10.7601/mez.46.215_2
281,L01125,"Higa, Y., Kishimoto, T. and Akimoto, T. (1992) Preliminary studies on attractions for the millipede, <i>Chamberlinus hualienensis</i> Wang, in Okinawa. Pest control research, 7(1): 13–16.","比嘉 ヨシ子・岸本 高男・秋元 俊男 (1992) ヤンバルトサカヤスデに対する誘殺法の検討. ペストロジー学会誌, 7(1): 13–16.",https://doi.org/10.24486/pestologygakkaishi.7.1_13
282,L01097,"Higa, Y., Kishimoto, T. and Niijima, K. (1993 (not 1992)) Seasonal functuation of the <i>Chamberlinius hualienensis</i> Wang (Diplopoda: Strongylosomidae) on Okinawa Island. Annual report of Okinawa Prefectural Institute of Public Health, (26): 42–49.","比嘉 ヨシ子・岸本 高男・新島 渓子 (1993 (not 1992)) 沖縄本島におけるヤンバルトサカヤスデの季節消長. 沖繩県公害衛生研究所報, (26): 42–49.",
283,L00303,"Higa, Y., Kishimoto, T. and Shinohara, K. (1994 (not 1993)) The outbreak of the millipede, <i>Trigoniulus lumbricinus</i> (Gerstaecher, 1873) and Control in Okinawa Islands. Annual report of Okinawa Prefectural Institute of Public Health, (27): 33–40.","比嘉 ヨシ子・岸本 高男・篠原 圭三郎 (1994 (not 1993)) 沖縄本島におけるミナミヤスデ <i>Trigoniulus lumbricinus</i> (Gerstaecker)の異常発生例とその対策. 沖繩県公害衛生研究所報, (27): 33–40.",https://www.pref.okinawa.jp/site/hoken/eiken/kankoubutsu.html
284,L00719,"Hijii, N. (1986) Density, biomass, and guild structure of arboreal arthropods as related to their inhabited tree size in a <i>Cryptomeria Japonica</i>[sic] plantation. Ecological Research, 1(2): 97–118.",,
285,L00720,"Hijii, N. (1989) Arthropod communities in a Japanese cedar (<i>Cryptomeria japonica</i> D.Don) plantation : abundance, biomass, and some properties. Ecological Research, 4(3): 243–260.",,
286,L01618,"Hirakizawa, N., Hosaka, T., Asari, Y. and Yamauchi, T. (2023) Myriapoda found in the stomach contents of the Ezo Brown Frog <i>Rana pirica</i> (Anura: Ranidae) from a riparian forest in Obihiro City, Hokkaido, Japan. Herpetology Notes, 16: 683–685.",,
287,L01229,"Hirakizawa, N., Kuwahara, R., Oppata, Y. and Yamauchi, T. (2022) New records of <i>Kopidoiulus longus</i> (Diplopoda: Julida: Mongoliulidae) from Tokachi District, Hokkaido, Japan. Bulletin of the Higashitaisetsu Nature Center, (9): 23–26.","開澤 菜月・桒原 良輔・乙幡 康之・山内 健生 (2022) 北海道十勝地方におけるダイセツホタルヤスデの新記録. ひがし大雪自然館研究報告, (9): 23–26.",https://www.ht-shizenkan.com/s/study/index.php
288,L01226,"Hirakizawa, N., Kuwahara, R., Wakimura, R. and Yamauchi, T. (2022) New records of the millipedes <i>Parafontaria laminata</i> (Attems, 1909) (Polydesmida: Xystodesmidae) and <i>Niponia nodulosa</i> Verhoeff, 1931 (Polydesmida: Cryptodesmidae) in Hokkaido, Japan. The Pan-Pacific Entomologist, 98(1): 52–57.",,https://doi.org/10.3956/2022-98.1.52
289,L01812,"Hirakizawa, N., Kuwahara, R. and Yamauchi, T. (2024) First record of <i>Angarozonium aduncum</i> (Mikhaljova in Mikhaljova & Basarukin, 1996) (Diplopoda, Polyzoniida, Polyzoniidae) from mainland Hokkaido, Japan. Check List, 20(6): 1292–1297.",,https://doi.org/10.15560/20.6.1292
290,L01585,"Hirakizawa, N., Noda, H., Wakimura, R., Tojo, K. and Yamauchi, T. (2023) Distribution of <i>Thereuonema tuberculata</i> (Wood, 1862) (Chilopoda, Scutigeromorpha, Scutigeridae) in Hokkaido, Japan. Check List, 19(4): 599–604.",,https://doi.org/10.15560/19.4.599
291,L00992,"Hirakizawa, N. and Yamauchi, T. (2021) First records of <i>Lithobius</i> (<i>Lithobius</i>) <i>forficatus</i> (Linnaeus 1758) (Chilopoda: Lithobiomorpha: Lithobiidae) from mainland Hokkaido, Japan. Acta Arachnologica, 70(1): 1–5.",,https://doi.org/10.2476/asjaa.70.1
292,L01718,"Hirakizawa, N. and Yamauchi, T. (2024) Centipedes and millipedes of Kamishihoro Town, Hokkaido, Japan. Bulletin of the Higashitaisetsu Nature Center, (11): 1–10.","開澤 菜月・山内 健生 (2024) 北海道上士幌町のムカデ綱およびヤスデ綱. ひがし大雪自然館研究報告, (11): 1–10.",https://www.ht-shizenkan.com/s/study/
293,L01825,"Hirakizawa, N. and Yamauchi, T. (2025) New distributional records of <i>Kopidoiulus longus</i> (Diplopoda: Julida: Mongoliulidae), including low altitude regions. Biogeography, 27: 1–4.",,
294,L01301,,"平内 好子 (1989) 南保富士の土壌動物. 富山生物教育, (23): 83–91.",
295,L01303,,"平内 好子 (1993) 有峰ブナ林のエダヒゲムシ類. 富山県高等学校教育研究会生物部会報, (16): 31–32.",
296,L01302,,"平内 好子 (1993) 土壌動物を使った環境調査の実践と検討. 富山生物教育, (27): 76–81.",
297,L01304,,"平内 好子 (1994) 土壌動物指標化の検討と土壌動物を指標とした林の環境調査について. 富山県高等学校教育研究会生物部会報, (18): 4–12.",
298,L01306,"Hirauchi, Y. and Sato, T. (2001) Observation of temperature and communities of soil animals during the thawing period in beech forest on Mt. Setokura in Toyama prefecture, central Japan. Toyama no seibutu, 40: 27–33.","平内 好子・佐藤 卓 (2001) 富山県瀬戸蔵山ブナ林の温度測定結果と融雪期の土壌動物群集. 富山の生物, 40: 27–33.",
299,L01305,"Hirauchi, Y., Sato, T., Matsumura, T., Ogawa, S. and Shinsei, Y. (1995) A comparison of the soil animals, especially oribatid mite communities, under different vegetations in Tateyama Caldera. Toyama no seibutu, 34: 20–28.","平内 好子・佐藤 卓・松村 勉・小川 重徳・信清 義和 (1995) 立山カルデラ内の異植生下における土壌動物群集（特にササラダニ群集）の比較. 富山の生物, 34: 20–28.",
300,L00714,"Hirayama, K., Hirayama, H. and Ishii, K. (2016) [Occurrence of <i>Niponia nodulosa</i> Verhoeff, 1931 in Fukushima Prefecture]. Edaphologia, (98): 29–30.","平山 和宏・平山 裕翔・石井 清 (2016) ミミズの手帳. 福島県からマクラギヤスデ (<i>Niponia nodulosa</i> Verhoeff, 1931). Edaphologia, (98): 29–30.",https://doi.org/10.20695/edaphologia.98.0_29
301,L01300,"Hisai, N. (1990) Notes on newly or rarely observed animal species in the Institute for Nature Study (3). Miscellaneous reports of the National Park for Nature Study, (21): 11–21.","久居 宣夫 (1990) 自然教育園の動物目録の追録と稀種動物の目撃記録 (3). 自然教育園報告, (21): 11–21.",https://www.kahaku.go.jp/research/publication/meguro/v21.html
302,L00416,"Hoffman, R. L. (1949) A new genus of xystodesmid millipeds from the Riu Kiu Archipelago with notes on related oriental genera. Natural History Miscellanea, 45(4): 1–6.",,
303,L00253,"Hoffman, R. L. (1956) Studies on some oriental Xystodesmine millipeds (Polydesmida, Chelodesmidae). Proceedings of the Entomological Society of Washington, 58(2): 95–104.",,
304,L01424,"Hoffman, R. L. (1961) Two new diplopod genera from western China (Polydesmida: Strongylosomatidae). Annals and Magazine of Natural History, (13)3: 533–543.",,
305,L01422,"Hoffman, R. L. (1963) A contribution to the knowledgh of asiantic strongylosomoid Diplopoda (Polydesmida: Strongylosomatidae). Annals and Magazine of Natural History, (13)5: 577–593.",,
306,L01789,"Hoffman, R. L. (1969) Myriapoda, exclusive of Insecta. pp. 572–606. In: Moore, R. C. (ed.) Treatise on Invertebrate Paleontology, Part R, Arthropoda 4, vol. 1 and 2: Crustacea (exclusive of Ostracoda), Myriapoda, Hexapoda. The Geological Society of America, and The University of Kansas, Lawrence, Kansas. xxxvi + 651 pp.",,https://journals.ku.edu/InvertebratePaleo/issue/view/518
